cid	cited	name	pid	pubmed	tid	title	year	last_name
PYM AS 2016 EUR RESPIR J	43	Treatment regimens	10.1183_13993003.00724_2015	26647431.0	t5_s2	Bedaquiline in the treatment of multidrug- and extensively d	2016	PYM
MASJEDI MR 2008 INT J TUBERC LUNG D	38	Treatment regimens	pub-1691	18544199.0	t5_s2	Outcome of treatment of MDR-TB patients with standardised re	2008	MASJEDI
KIM DH 2008 AM J RESP CRIT CARE	115	Risk factors	10.1164_rccm.200801_132OC	18703792.0	t5_s3	Treatment Outcomes and Long-term Survival in Patients with E	2008	KIM
KIM DH 2010 AM J RESP CRIT CARE	67	Risk factors	10.1164_rccm.200911_1656OC	20224066.0	t5_s3	Treatment Outcomes and Survival Based on Drug Resistance Pat	2010	KIM
KLIIMAN K 2010 INT J TUBERC LUNG D	51	Risk factors	pub-1501	20202304.0	t5_s3	Predictors and mortality associated with treatment default i	2010	KLIIMAN
SUAREZGARCIA I 2009 EUR J CLIN MICROBIOL	42	Risk factors	10.1007_s10096_008_0627_y	18830725.0	t5_s3	Risk factors for multidrug-resistant tuberculosis in a tuber	2009	SUAREZGARCIA
LIU CH 2011 PLOS ONE	32	Risk factors	10.1371_journal.pone.0019399	21559362.0	t5_s3	Characteristics and Treatment Outcomes of Patients with MDR 	2011	LIU
GANDHI NR 2012 INT J TUBERC LUNG D	31	Risk factors	10.5588_ijtld.11.0153	22236852.0	t5_s3	Risk factors for mortality among MDR- and XDR-TB patients in	2012	GANDHI
ANDREWS JR 2010 PLOS ONE	31	Risk factors	10.1371_journal.pone.0015735	21209951.0	t5_s3	Predictors of Multidrug- and Extensively Drug-Resistant Tube	2010	ANDREWS
TANG SJ 2013 PLOS ONE	27	Risk factors	10.1371_journal.pone.0082943	24349402.0	t5_s3	Risk Factors for Poor Treatment Outcomes in Patients with MD	2013	TANG
JEON DS 2011 J KOREAN MED SCI	23	Risk factors	10.3346_jkms.2011.26.1.33	21218027.0	t5_s3	Treatment Outcome and Mortality among Patients with Multidru	2011	JEON
ZHAO P 2012 J INT MED RES	20	Risk factors	10.1177_147323001204000205	22613404.0	t5_s3	Social Behaviour Risk Factors for Drug Resistant Tuberculosi	2012	ZHAO
GLER MT 2012 INT J TUBERC LUNG D	18	Risk factors	10.5588_ijtld.11.0502	22584124.0	t5_s3	Impact of patient and program factors on default during trea	2012	GLER
RIFAT M 2014 PLOS ONE	15	Risk factors	10.1371_journal.pone.0105214	25136966.0	t5_s3	Development of Multidrug Resistant Tuberculosis in Banglades	2014	RIFAT
DIANDE S 2009 MICROB DRUG RESIST	12	Risk factors	10.1089_mdr.2009.0906	19728781.0	t5_s3	Risk Factors for Multidrug-Resistant Tuberculosis in Four Ce	2009	DIANDE
TANRIKULU AC 2010 MED SCI MONITOR	12	Risk factors	pub-1537	20512101.0	t5_s3	Risk factors for multidrug-resistant tuberculosis in Diyarba	2010	TANRIKULU
BLONDAL K 2013 INT J TUBERC LUNG D	10	Risk factors	10.5588_ijtld.12.0946	23743316.0	t5_s3	Overall and cause-specific mortality among patients with tub	2013	BLONDAL
SUN YN 2015 BMC PUBLIC HEALTH	7	Risk factors	10.1186_s12889_015_2327_8	26444417.0	t5_s3	Comparison of characteristics and mortality in multidrug res	2015	SUN
REISSANTOS B 2014 PLOS ONE	7	Risk factors	10.1371_journal.pone.0100082	25003346.0	t5_s3	Treatment Outcomes in Tuberculosis Patients with Diabetes: A	2014	REISSANTOS
UMANAH T 2015 BMC INFECT DIS	6	Risk factors	10.1186_s12879_015_1214_3	26511616.0	t5_s3	Treatment outcomes in multidrug resistant tuberculosis-human	2015	UMANAH
KHAN MA 2015 SAUDI MED J	6	Risk factors	10.15537_smj.2015.12.12155	26620989.0	t5_s3	Characteristics and treatment outcomes of patients with mult	2015	KHAN
RIFAT M 2015 BMJ OPEN	2	Risk factors	10.1136_bmjopen_2015_008273	26351185.0	t5_s3	Factors related to previous tuberculosis treatment of patien	2015	RIFAT
RUDDY M 2005 THORAX	98	Resistance prevalence	10.1136_thx.2004.026922	15681501.0	t5_s5	Rates of drug resistance and risk factor analysis in civilia	2005	RUDDY
LOMTADZE N 2009 INT J TUBERC LUNG D	52	Resistance prevalence	pub-1638	19105881.0	t5_s5	Prevalence and risk factors for multidrug-resistant tubercul	2009	LOMTADZE
SHEN X 2009 INT J TUBERC LUNG D	43	Resistance prevalence	pub-1627	19146756.0	t5_s5	Drug-resistant tuberculosis in Shanghai China 2000-2006: pre	2009	SHEN
CHOI JC 2007 J KOREAN MED SCI	28	Resistance prevalence	10.3346_jkms.2007.22.4.677	17728509.0	t5_s5	Drug resistance rates of Mycobacterium tuberculosis at a pri	2007	CHOI
MDIVANI N 2008 INT J INFECT DIS	27	Resistance prevalence	10.1016_j.ijid.2008.03.012	18514008.0	t5_s5	High prevalence of multidrug-resistant tuberculosis in Georg	2008	MDIVANI
YOSHIYAMA T 2001 INT J TUBERC LUNG D	24	Resistance prevalence	pub-2011	11263513.0	t5_s5	Prevalence of drug-resistant tuberculosis in an HIV endemic 	2001	YOSHIYAMA
CLARK CM 2005 INT J TUBERC LUNG D	21	Resistance prevalence	pub-1854	16158888.0	t5_s5	Risk factors for drug-resistant tuberculosis among non-US-bo	2005	CLARK
GRANICH RM 2001 INT J TUBERC LUNG D	20	Resistance prevalence	pub-2012	11263517.0	t5_s5	Drug-resistant tuberculosis in foreign-born persons from Mex	2001	GRANICH
SPRADLING R 2002 INT J TUBERC LUNG D	16	Resistance prevalence	pub-1970	12234130.0	t5_s5	Anti-tuberculosis drug resistance in community and prison pa	2002	SPRADLING
HU Y 2008 MICROB DRUG RESIST	15	Resistance prevalence	10.1089_mdr.2008.0823	18707239.0	t5_s5	Prevalence of Multidrug-Resistant Pulmonary Tuberculosis in 	2008	HU
PLEUMPANUPAT W 2003 INT J TUBERC LUNG D	15	Resistance prevalence	pub-1950	12757049.0	t5_s5	Resistance to anti-tuberculosis drugs among smear-positive c	2003	PLEUMPANUPAT
BUYANKHISHIG B 2011 INT J TUBERC LUNG D	9	Resistance prevalence	10.5588_ijld.10.0594	21943846.0	t5_s5	Nationwide survey of anti-tuberculosis drug resistance in Mo	2011	BUYANKHISHIG
MICHELETTI VCD 2014 J BRAS PNEUMOL	8	Resistance prevalence	10.1590_S1806_37132014000200009	24831400.0	t5_s5	Drug-resistant tuberculosis in subjects included in the Seco	2014	MICHELETTI
MI FL 2014 GLOBAL HEALTH ACTION	5	Resistance prevalence	10.3402_gha.v7.24022		t5_s5	Is resistance to anti-tuberculosis drugs associated with typ	2014	MI
AKKSILP S 2009 SE ASIAN J TROP MED	5	Resistance prevalence	pub-1577	19842383.0	t5_s5	MULTIDRUG-RESISTANT TB AND HIV IN THAILAND: OVERLAPPING BUT 	2009	AKKSILP
AKKSILP S 2009 SE ASIAN J TROP MED	3	Resistance prevalence	pub-1562	20578461.0	t5_s5	MULTI-DRUG RESISTANT TB AND HIV IN THAILAND: OVERLAPPING BUT	2009	AKKSILP
